id,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,notes,parent_court_id
"ndd","137","f","",,"68","2023-10-03 01:23:44.647177+00","t","f","f","245.3","D.N.D.","D. North Dakota","District Court, D. North Dakota","http://www.ndd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"ncd",,,"",,"","2023-10-03 01:23:44.661174+00","f","f","f","245.5","D.N.C.","D. North Carolina","District Court, D. North Carolina","","1790-06-04","1802-04-29","FD","","usdistct"
"ohnd","141","t","cmp,order,order_cr,motion,charge_cr",,"47","2023-10-03 01:23:44.67126+00","t","f","f","245.8","N.D. Ohio","N.D. Ohio","District Court, N.D. Ohio","http://www.ohnd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"ohsd","143","t","all",,"48","2023-10-03 01:23:44.687195+00","t","f","f","245.91","S.D. Ohio","S.D. Ohio","District Court, S.D. Ohio","http://www.ohsd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"ohiod",,,"",,"","2023-10-03 01:23:44.703296+00","t","f","f","245.92","D. Ohio","D. Ohio","District Court, D. Ohio","http://www.uscourts.gov/","1803-02-19","1855-02-10","FD","Lawbox","usdistct"
"oked","145","f","",,"86","2023-10-03 01:23:44.723398+00","t","f","f","245.95","E.D. Okla.","E.D. Oklahoma","District Court, E.D. Oklahoma","http://www.oked.uscourts.gov/",,,"FD","Lawbox","usdistct"
"oknd","147","f","",,"85","2023-10-03 01:23:44.734304+00","t","f","f","245.99","N.D. Okla.","N.D. Oklahoma","District Court, N.D. Oklahoma","http://www.oknd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"okwd","149","t","all",,"87","2023-10-03 01:23:44.744995+00","t","f","f","246","W.D. Okla.","W.D. Oklahoma","District Court, W.D. Oklahoma","http://www.uscourts.gov/",,,"FD","Lawbox","usdistct"
"ord","151","t","all",,"79","2023-10-03 01:23:44.755297+00","t","f","f","247","D. Or.","D. Oregon","District Court, D. Oregon","http://www.ord.uscourts.gov/",,,"FD","Lawbox","usdistct"
"paed","153","t","all",,"13","2023-10-03 01:23:44.771339+00","t","f","f","247.9","E.D. Pa.","E.D. Pennsylvania","District Court, E.D. Pennsylvania","http://www.paed.uscourts.gov/",,,"FD","Lawbox","usdistct"
"pamd","155","f","",,"14","2023-10-03 01:23:44.783227+00","t","f","f","247.95","M.D. Penn.","M.D. Pennsylvania","District Court, M.D. Pennsylvania","http://www.pamd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"pawd","157","t","order,order-cr,motion,cmp",,"15","2023-10-03 01:23:44.792914+00","t","f","f","248","W.D. Pa.","W.D. Pennsylvania","District Court, W.D. Pennsylvania","http://www.pawd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"pennsylvaniad",,,"",,"","2023-10-03 01:23:44.811242+00","t","f","f","248.1","D. Pa.","D. Pennsylvania","District Court, D. Pennsylvania","http://www.uscourts.gov/","1789-09-24","1818-04-20","FD","Lawbox

The United States District Court for the District of Pennsylvania was one of the original 13 courts established by the Judiciary Act of 1789, 1 Stat. 73, on September 24, 1789.[56][57] It was subdivided on April 20, 1818, by 3 Stat. 462,[56][57] into the Eastern and Western Districts, to be headquartered in Philadelphia and Pittsburgh, respectively.

https://en.wikipedia.org/wiki/List_of_former_United_States_district_courts#Pennsylvania","usdistct"
